"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Village of Addison Mayor  (Vote For 1)","TOM HUNDLEY","",2356,71.79,24183,4020,25,25,"1","52"
2,"Village of Addison Mayor  (Vote For 1)","EDDIE CASTILLO","",926,28.21,24183,4020,25,25,"1","52"
3,"Village of Addison Clerk  (Vote For 1)","LUCILLE A. ZUCCHERO","",2804,100.00,24183,4020,25,25,"0","531"
4,"Village of Addison Village Trustee (Vote For 3)","CATHERINE L. (CATHY) KLUCZNY","",2319,35.29,24183,4020,25,25,"0","3434"
5,"Village of Addison Village Trustee (Vote For 3)","SAM NASTI","",2156,32.81,24183,4020,25,25,"0","3434"
6,"Village of Addison Village Trustee (Vote For 3)","JAY DEL ROSARIO","",2096,31.90,24183,4020,25,25,"0","3434"
7,"Village of Addison Library Trustee (Vote For 2)","KATHLEEN WILLIS","",1619,30.52,24183,4020,25,25,"11","1344"
8,"Village of Addison Library Trustee (Vote For 2)","LORRAINE L. FIDONIK","",504,9.50,24183,4020,25,25,"11","1344"
9,"Village of Addison Library Trustee (Vote For 2)","ANGELO SELLAS","",941,17.74,24183,4020,25,25,"11","1344"
10,"Village of Addison Library Trustee (Vote For 2)","RUBEN C. ROBLES","",1016,19.16,24183,4020,25,25,"11","1344"
11,"Village of Addison Library Trustee (Vote For 2)","PAMELA NAVROCKI","",1224,23.08,24183,4020,25,25,"11","1344"
12,"City of Aurora Mayor (Vote For 1)","RICHARD C. IRVIN","",2726,45.59,31446,6118,28,28,"1","45"
13,"City of Aurora Mayor (Vote For 1)","JOHN LAESCH","",3253,54.41,31446,6118,28,28,"1","45"
14,"City of Aurora Alderperson At Large (Vote For 1)","RON WOERMAN","",2039,37.93,31446,6118,28,28,"2","647"
15,"City of Aurora Alderperson At Large (Vote For 1)","KEITH LARSON","",3337,62.07,31446,6118,28,28,"2","647"
16,"City of Aurora Ward 1 Unexpired 2 Year Alderperson (Vote For 1)","HUGO SALTIJERAL","",46,26.90,2627,575,2,2,"4","54"
17,"City of Aurora Ward 1 Unexpired 2 Year Alderperson (Vote For 1)","DANIEL BARREIRO","",63,36.84,2627,575,2,2,"4","54"
18,"City of Aurora Ward 1 Unexpired 2 Year Alderperson (Vote For 1)","JEFFREY D. DONELSON","",23,13.45,2627,575,2,2,"4","54"
19,"City of Aurora Ward 1 Unexpired 2 Year Alderperson (Vote For 1)","RAY HULL","",39,22.81,2627,575,2,2,"4","54"
20,"City of Aurora Ward 7 Alderperson (Vote For 1)","JAVIER BANUELOS","",468,55.32,5771,1025,5,5,"1","74"
21,"City of Aurora Ward 7 Alderperson (Vote For 1)","BRANDON C. TOLLIVER","",376,44.44,5771,1025,5,5,"1","74"
22,"City of Aurora Ward 7 Alderperson (Vote For 1)","Saul Fultz (Write-In)","",2,0.24,5771,1025,5,5,"1","74"
23,"City of Aurora Ward 9 Alderperson (Vote For 1)","EDWARD J. BUGG","",320,100.00,2021,393,2,2,"0","73"
24,"City of Aurora Ward 10 Alderperson (Vote For 1)","SHWETA BAID","",1512,100.00,11964,2232,11,11,"0","439"
25,"Village of Bartlett Village President (Vote For 1)","DANIEL H. GUNSTEEN","",1914,100.00,20225,2830,19,19,"0","469"
26,"Village of Bartlett Village Clerk (Vote For 1)","LORNA GILESS","",1872,100.00,20225,2830,19,19,"0","511"
27,"Village of Bartlett Village Trustee (Vote For 3)","JOHN M. BATTERMANN","",1381,31.32,20225,2830,19,19,"0","2739"
28,"Village of Bartlett Village Trustee (Vote For 3)","STEPHANIE Z. GANDSEY","",1626,36.87,20225,2830,19,19,"0","2739"
29,"Village of Bartlett Village Trustee (Vote For 3)","JOSEPH W. LAPORTE","",1403,31.81,20225,2830,19,19,"0","2739"
30,"Village of Bensenville Village President (Vote For 1)","FRANK DESIMONE","",1397,91.91,11046,2338,12,12,"1","273"
31,"Village of Bensenville Village President (Vote For 1)","Susan Foster (Write-In)","",123,8.09,11046,2338,12,12,"1","273"
32,"Village of Bensenville Village Clerk (Vote For 1)","NANCY QUINN","",1525,100.00,11046,2338,12,12,"0","381"
33,"Village of Bensenville Village Trustee (Vote For 3)","ANN FRANZ","",1249,34.49,11046,2338,12,12,"0","2097"
34,"Village of Bensenville Village Trustee (Vote For 3)","MCLANE ""MAC"" LOMAX","",1139,31.46,11046,2338,12,12,"0","2097"
35,"Village of Bensenville Village Trustee (Vote For 3)","ARMANDO PEREZ","",1233,34.05,11046,2338,12,12,"0","2097"
36,"Village of Bloomingdale Village President (Vote For 1)","FRANCO A. COLADIPIETRO","",2345,100.00,21633,3615,22,22,"0","343"
37,"Village of Bloomingdale Village Clerk (Vote For 1)","PAMELA S. HAGER","",2251,100.00,21633,3615,22,22,"0","437"
