"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"FOR MAYOR (Vote For 1)","JOHN LAESCH","",1328,38.44,30990,3458,28,28,"1","2"
2,"FOR MAYOR (Vote For 1)","RICHARD C. IRVIN","",1501,43.44,30990,3458,28,28,"1","2"
3,"FOR MAYOR (Vote For 1)","THEODOROS ""TED"" MESIACOS","",250,7.24,30990,3458,28,28,"1","2"
4,"FOR MAYOR (Vote For 1)","KARINA GARCIA","",87,2.52,30990,3458,28,28,"1","2"
5,"FOR MAYOR (Vote For 1)","JAZMINE GARCIA","",27,0.78,30990,3458,28,28,"1","2"
6,"FOR MAYOR (Vote For 1)","JUDD LOFCHIE","",262,7.58,30990,3458,28,28,"1","2"
7,"FOR TOWNSHIP SUPERVISOR (Vote For 1)","M. JOANN WRIGHT","DEM",3721,93.49,81770,4291,77,77,"4","265"
8,"FOR TOWNSHIP SUPERVISOR (Vote For 1)","HEATHER KAZMARK (WRITE-IN)","DEM",259,6.51,81770,4291,77,77,"4","265"
9,"FOR TOWNSHIP CLERK (Vote For 1)","ROBERT SACKS","DEM",3891,100.00,81770,4291,77,77,"0","400"
10,"FOR TOWNSHIP ASSESSOR (Vote For 0)","NO CANDIDATE/CANDIDATO","DEM",0,0.00,81770,4291,77,77,"0","0"
11,"FOR TOWNSHIP HIGHWAY COMMISSIONER (Vote For 0)","NO CANDIDATE/CANDIDATO","DEM",0,0.00,81770,4291,77,77,"0","0"
12,"FOR TOWNSHIP TRUSTEE (Vote For 4)","JEAN PAGE","DEM",1842,11.28,81770,4291,77,77,"11","794"
13,"FOR TOWNSHIP TRUSTEE (Vote For 4)","BARRY R. ROBINSON","DEM",1658,10.16,81770,4291,77,77,"11","794"
14,"FOR TOWNSHIP TRUSTEE (Vote For 4)","LISA ROSE","DEM",1907,11.68,81770,4291,77,77,"11","794"
15,"FOR TOWNSHIP TRUSTEE (Vote For 4)","AUDREY BURRIS","DEM",1738,10.65,81770,4291,77,77,"11","794"
16,"FOR TOWNSHIP TRUSTEE (Vote For 4)","GERRY GALLOWAY","DEM",2208,13.52,81770,4291,77,77,"11","794"
17,"FOR TOWNSHIP TRUSTEE (Vote For 4)","MARYANN VAZQUEZ","DEM",2395,14.67,81770,4291,77,77,"11","794"
18,"FOR TOWNSHIP TRUSTEE (Vote For 4)","SUSAN HOWELL","DEM",2407,14.74,81770,4291,77,77,"11","794"
19,"FOR TOWNSHIP TRUSTEE (Vote For 4)","DONNA RAE PREPEJCHAL","DEM",2171,13.30,81770,4291,77,77,"11","794"
